---------------------------------------------------------------------------------------------------------------------------------------------------------------|
       Sucursal.|            SKU|        Familia|  Prec. con IVA|  Stock en Uni.|    Bulto Prov.|            UxB|            IVA|         EAN-13|         DUM-14|
---------------------------------------------------------------------------------------------------------------------------------------------------------------|
              1|          70448|             10|    324.0542900|             -9|       1.000000|              8|         21.000|  7791822675523| 17791822675520|
              1|          70500|             10|    136.2622900|            -13|       0.000000|            693|         21.000|  7791822691097|               |
              1|          70546|             10|     52.8044000|             -4|       0.000000|             24|         21.000|  7791822682798| 17791822682795|
              1|          70547|             10|    134.1568900|            245|      11.000000|             24|         21.000|  7791822682781| 17791822682788|
              1|          70548|             10|    134.1568900|            149|       7.000000|             24|         21.000|  7791822682804| 17791822682801|
              1|          70572|             10|     37.9322900|            -13|       0.000000|             72|         21.000|  7791822621322| 17791822621329|
              1|          70684|             10|     22.9887900|            -13|       0.000000|             48|         21.000|  7798118411193|               |
              1|          70686|             10|     22.9887900|            -12|       0.000000|             48|         21.000|  7798118411223|               |
              1|          70741|             10|    405.8744900|            -12|       0.000000|              6|         21.000|  7891240024078| 17891240024075|
              1|          70758|             10|     24.1987900|            -13|       0.000000|             48|         21.000|  7891240031755| 17891240031752|
              1|          70759|             10|     20.5687900|            -13|       0.000000|             24|         21.000|  7891240033643| 17891240033640|
              1|          70776|             10|     77.8017900|            -13|       0.000000|             48|         21.000|  7791822394370|               |
              1|          70787|             10|     33.8800000|            -13|       0.000000|             36|         21.000|  7791822628994| 17791822628991|
              1|          70795|             10|     31.3982900|            -13|       0.000000|             36|         21.000|  7791822338251| 17791822338258|
              1|          70813|             10|    132.5838900|            -13|       0.000000|             12|         21.000|  7791822674182| 17791822674189|
              1|          70865|             10|    142.3122900|            256|       6.000000|             48|         21.000|  7798182435460|               |
              1|          70897|             10|     36.1427000|             -6|       0.000000|             20|         21.000|  7797232010534| 27797232010538|
              1|          70898|             10|     36.1427000|            -10|       0.000000|             20|         21.000|  7797232010527| 27797232010521|
              1|          70900|             10|     61.8431000|            -20|       0.000000|             20|         21.000|  7797232010541| 27797232010545|
              1|          70928|             10|    201.6761000|            -12|       0.000000|              6|         21.000|  7791822692551|               |
              1|          70931|             10|     72.5987900|            -11|       0.000000|             24|         21.000|  8692952077043|               |
              1|          70932|             10|     72.5987900|            -13|       0.000000|             24|         21.000|  8692952077074|               |
              1|          70933|             10|     72.5987900|            -13|       0.000000|             24|         21.000|  8692952076985|               |
              1|          70934|             10|   1011.6367900|             -9|       0.000000|             72|         21.000|  7791822689056| 17791822689053|
              1|          70935|             10|    205.3774900|            -13|       0.000000|             12|         21.000|  7791822674465| 17791822674462|
              1|          70936|             10|    205.3774900|             80|       8.000000|             12|         21.000|  7791822674472| 17791822674479|
              1|          70937|             10|    205.3774900|              4|       1.000000|             12|         21.000|  7791822674489| 17791822674486|
              1|          70938|             10|    205.3774900|             24|       3.000000|             12|         21.000|  7791822674496| 17791822674493|
              1|          71081|             10|     63.2696900|            -13|       0.000000|             48|         21.000|  7792281971010| 27792281971014|
              1|          71086|             10|     43.6918900|             30|       1.000000|             36|         21.000|  7792281034111| 27792281034115|
              1|          71112|             10|     73.0222900|             -2|       0.000000|             48|         21.000|  7791822675646| 17791822675643|
              1|          71123|             10|    251.7688900|              8|       2.000000|             12|         21.000|  7791822388157|               |
              1|          71127|             10|    251.7688900|            145|      13.000000|             12|         21.000|  7791822388164|               |
              1|          71716|             10|               |            -13|       0.000000|             12|         21.000|  7792281034005| 27792281024009|
              1|          71717|             10|     91.9587900|            -13|       0.000000|             12|         21.000|  7792281034401| 27792281034405|
              1|          71807|             10|    113.7024900|            -11|       0.000000|             12|         21.000|  7891240028120| 17891240028127|
              1|          74189|             10|     87.5543900|            185|       6.000000|             36|         21.000|  7791822676407|               |
              1|          74190|             10|     87.5543900|            142|       4.000000|             36|         21.000|  7791822676414|               |
              1|          74201|             10|     70.8200900|            276|       8.000000|             36|         21.000|  7791822625009| 17791822641655|
              1|          74223|             10|     48.4242000|             28|       2.000000|             24|         21.000|  7792281976015| 27792281976019|
              1|          74323|             10|    405.5356900|             -6|       1.000000|              6|         21.000|  7791822689834| 17791822689831|
              1|          74355|             10|      7.8637900|            -13|       0.000000|              1|         21.000|  7791822388874|              0|
              1|          74363|             10|     74.0991900|             93|       2.000000|             48|         21.000|  7791822685591| 17791822685598|
              1|          74455|             10|     27.2237900|            825|     838.000000|              1|         21.000|  7791822370893|              0|
              1|          74508|             10|     70.8200900|             74|       2.000000|             36|         21.000|  7791822625016| 17791822625013|
              1|          74579|             10|     26.6792900|            119|     132.000000|              1|         21.000|  7791822388799|               |
              1|          74580|             10|     65.0967900|            -13|       0.000000|             24|         21.000|  7791822628833| 17791822628830|
              1|          74599|             10|     13.0667900|            -13|       0.000000|            390|         21.000|  7791822393861| 17791822393868|
              1|          74602|             10|     57.5947900|            -13|       0.000000|             36|         21.000|  7791822660581| 17791822660588|
              1|          74605|             10|     45.0120000|              4|       1.000000|             24|         21.000|  7791822623005| 17791822623002|
              1|          74606|             10|     64.0682900|            -13|       0.000000|             24|         21.000|  7791822623012| 17791822623019|
              1|          74611|             10|    418.1196900|             -6|       1.000000|              8|         21.000|  7791822689148| 17791822689145|
              1|          74612|             10|    397.8884900|            -11|       0.000000|              6|         21.000|  7791822687861| 17791822687868|
              1|          74613|             10|    372.9879000|            -13|       0.000000|              6|         21.000|  7791822680176| 17791822680173|
              1|          74631|             10|    106.4061900|             84|       2.000000|             48|         21.000|  7791822680251|               |
              1|          74635|             10|     18.3302900|             -5|       8.000000|              1|         21.000|  7791822685744| 17791822685741|
              1|          74654|             10|     71.2556900|             -6|       0.000000|             24|         21.000|  7891240039119| 17891240039116|
              1|          74666|             10|   1367.6187900|            327|      28.000000|             12|         21.000|  7798182434111|               |
              1|          74667|             10|   1274.9327900|            276|      24.000000|             12|         21.000|  7798182434098|               |
              1|          74668|             10|   1086.9592900|            103|      10.000000|             12|         21.000|  7798182434104|               |
              1|          74669|             10|   1086.9592900|             70|       7.000000|             12|         21.000|  7798182434128|               |
              1|          74670|             10|   1367.8607900|            204|      18.000000|             12|         21.000|  7798182434135|               |
              1|          74671|             10|   1658.5027900|            224|      30.000000|              8|         21.000|  7798182434081|               |
              1|          74672|             10|     95.7702900|            284|       6.000000|             48|         21.000|  7798182435408|               |
              1|          74673|             10|     88.1472900|            455|      10.000000|             48|         21.000|  7798182435415|               |
              1|          74674|             10|     88.1472900|            315|       7.000000|             48|         21.000|  7798182435422|               |
              1|          74675|             10|     70.6022900|           1659|       2.000000|            910|         21.000|  7798182435439|               |
              1|          74677|             10|    983.2017900|            -13|       0.000000|             24|         21.000|  7798182436092|               |
              1|          74678|             10|    923.7302900|            -13|       0.000000|             24|         21.000|  7798182436108|               |
              1|          74679|             10|   1510.2777900|            -13|       0.000000|             24|         21.000|  7798182436115|               |
              1|          74680|             10|    672.7157900|             17|       1.000000|             48|         21.000|  7798182436122|               |
              1|          74713|             10|    118.9296900|            584|      17.000000|             36|         21.000|  7791822689193|              0|
              1|          74714|             10|    194.5721900|            -10|       0.000000|             24|         21.000|  7791822674403| 17791822674400|
              1|          74722|             10|    194.5721900|            -13|       0.000000|             24|         21.000|  7791822674410| 17791822674417|
              1|          74723|             10|    194.5721900|            -12|       0.000000|             24|         21.000|  7791822674427| 17791822674424|
              1|          74724|             10|    194.5721900|             -8|       0.000000|             24|         21.000|  7791822674434| 17791822674431|
              1|          74725|             10|    167.3592900|             35|       2.000000|             24|         21.000|  7798182437938|               |
              1|          74726|             10|    167.3592900|            864|      18.000000|             48|         21.000|  7798182437945|               |
              1|          74727|             10|    167.3592900|           1587|      33.000000|             48|         21.000|  7798182437952|               |
              1|          74728|             10|    167.3592900|            203|       5.000000|             48|         21.000|  7798182437969|               |
              1|          74729|             10|    167.3592900|             77|       2.000000|             48|         21.000|  7798182437976|               |
              1|          74730|             10|    167.3592900|             88|       2.000000|             48|         21.000|  7798182437983|               |
              1|          74731|             10|    167.3592900|           1054|      22.000000|             48|         21.000|  7798182438034|               |
              1|          74732|             10|    167.3592900|           1287|      27.000000|             48|         21.000|  7798182438041|               |
              1|          74733|             10|    167.3592900|           1089|      46.000000|             24|         21.000|  7798182437990|               |
              1|          74734|             10|    167.3592900|             12|       1.000000|             48|         21.000|  7798182438003|               |
              1|          74735|             10|    167.3592900|             16|       1.000000|             48|         21.000|  7798182438010|               |
              1|          78712|             10|    304.6458900|             -8|       1.000000|              6|         21.000|  7791822675455|               |
              1|          81282|             10|    448.9867900|            -13|       0.000000|             12|         21.000|  7798182435255|               |
              1|          81283|             10|    401.7967900|            -11|       0.000000|             24|         21.000|  7798182435262|               |
              1|          81284|             10|    345.4107900|            -13|       0.000000|             24|         21.000|  7798182435279|               |
              1|          81342|             10|    229.3789290|            968|       4.000000|            270|         21.000|  7798182438287|               |
              1|          81343|             10|    244.1193910|            394|       2.000000|            210|         21.000|  7798182438294|               |
              1|          81344|             10|    273.6421810|            -13|       0.000000|            180|         21.000|  7798182438300|               |
              1|          81345|             10|    303.4675920|             28|       0.000000|            120|         21.000|  7798182438317|               |
              1|          81346|             10|    598.5623920|            -13|       0.000000|             60|         21.000|  7798182438324|               |
              1|          81347|             10|   1187.1612050|            -10|       0.000000|             36|         21.000|  7798182438331|               |
              1|          85452|             10|    405.8744900|             -8|       1.000000|              6|         21.000|  7891240000263| 17891240000260|
              1|          85453|             10|    405.8744900|             -5|       1.000000|              6|         21.000|  7891240000300| 17891240000307|
              1|          85594|             10|     26.9225000|            -13|       0.000000|            832|         21.000|  7791822394882|               |
              1|          85596|             10|     45.7367900|            -13|       0.000000|             36|         21.000|  7791822400262|               |
              1|          85597|             10|     45.7367900|            -13|       0.000000|            784|         21.000|  7791822400286|               |
              1|          85605|             10|     47.2008900|            -13|       0.000000|              1|         21.000|  7791822395513|               |
              1|          85755|             10|    135.4394900|             46|       2.000000|             36|         21.000|  7791822688219| 17791822688216|
              1|          86031|             10|     12.0987900|            -13|       0.000000|             36|         21.000|  7798118416006|               |
              1|          86035|             10|     15.3065000|            -11|       0.000000|             36|         21.000|  7798118415009|               |
              1|          86036|             10|     15.3065000|            -13|       0.000000|             36|         21.000|  7798118415016|               |
              1|          86039|             10|     15.1492000|            -13|       0.000000|             48|         21.000|  7798118410776|               |
              1|          86041|             10|     16.4197000|            -13|       0.000000|             36|         21.000|  7798118410196|               |
              1|          86043|             10|     14.3143000|            -13|       0.000000|             48|         21.000|  7798118410257|               |
              1|          86048|             10|    146.7408900|             13|       2.000000|             12|         21.000|  7891240036712| 17891240036719|
              1|          86049|             10|    146.7408900|              9|       2.000000|             12|         21.000|  7891240036729| 17891240036726|
              1|          86050|             10|     54.4487900|            -13|       0.000000|             24|         21.000|  7891240030345| 17891240030342|
